心声冥想 App 内存监控日志
========================
包名：com.anonymous.soundtherapyapp
进程 ID: 8501
采样间隔：5秒
开始时间：2026-04-16 07:25:05
========================

时间戳 | PSS Total(MB) | Private Dirty(MB) | Heap Size(MB)
-----------------------------------------------------------
2026-04-16 07:25:05 | 91.15 |  | 11.92
2026-04-16 07:25:10 | 86.04 |  | 13.70
2026-04-16 07:25:15 | 85.88 |  | 13.70
2026-04-16 07:25:20 | 85.91 |  | 13.74
2026-04-16 07:25:25 | 85.94 |  | 13.74
2026-04-16 07:25:31 | 86.05 |  | 13.74
2026-04-16 07:25:36 | 86.07 |  | 13.75
2026-04-16 07:25:41 | 86.10 |  | 13.76
2026-04-16 07:25:46 | 86.14 |  | 13.78
2026-04-16 07:25:51 | 86.18 |  | 13.80
2026-04-16 07:25:57 | 86.19 |  | 13.80
2026-04-16 07:26:02 | 86.20 |  | 13.80
2026-04-16 07:26:07 | 86.25 |  | 13.81
2026-04-16 07:26:12 | 86.28 |  | 13.82
2026-04-16 07:26:17 | 86.34 |  | 13.84
2026-04-16 07:26:23 | 86.35 |  | 13.84
2026-04-16 07:26:28 | 86.38 |  | 13.85
2026-04-16 07:26:33 | 86.38 |  | 13.85
2026-04-16 07:26:38 | 86.38 |  | 13.85
2026-04-16 07:26:43 | 86.38 |  | 13.85
2026-04-16 07:26:49 | 86.39 |  | 13.85
2026-04-16 07:26:54 | 86.39 |  | 13.85
2026-04-16 07:26:59 | 86.38 |  | 13.85
2026-04-16 07:27:04 | 86.39 |  | 13.86
2026-04-16 07:27:09 | 86.39 |  | 13.86
2026-04-16 07:27:15 | 86.40 |  | 13.86
2026-04-16 07:27:20 | 86.39 |  | 13.86
2026-04-16 07:27:25 | 86.17 |  | 13.86
2026-04-16 07:27:30 | 86.16 |  | 13.86
2026-04-16 07:27:35 | 86.17 |  | 13.86
2026-04-16 07:27:40 | 86.17 |  | 13.86
2026-04-16 07:27:46 | 86.21 |  | 13.88
2026-04-16 07:27:51 | 86.20 |  | 13.88
2026-04-16 07:27:56 | 86.21 |  | 13.88
2026-04-16 07:28:01 | 86.21 |  | 13.88
2026-04-16 07:28:06 | 86.20 |  | 13.88
2026-04-16 07:28:12 | 86.20 |  | 13.88
2026-04-16 07:28:17 | 86.23 |  | 13.88
2026-04-16 07:28:22 | 112.67 |  | 21.73
2026-04-16 07:28:27 | 107.82 |  | 21.44
2026-04-16 07:28:32 | 107.28 |  | 20.97
2026-04-16 07:28:38 | 107.32 |  | 20.91
2026-04-16 07:28:43 | 107.34 |  | 20.91
2026-04-16 07:28:48 | 107.33 |  | 20.91
2026-04-16 07:28:53 | 107.33 |  | 20.91
2026-04-16 07:28:58 | 107.33 |  | 20.91
2026-04-16 07:29:03 | 107.33 |  | 20.91
2026-04-16 07:29:09 | 107.43 |  | 20.95
2026-04-16 07:29:14 | 107.48 |  | 20.95
2026-04-16 07:29:19 | 107.48 |  | 20.95
2026-04-16 07:29:24 | 107.47 |  | 20.95
2026-04-16 07:29:29 | 107.47 |  | 20.95
2026-04-16 07:29:35 | 107.47 |  | 20.95
2026-04-16 07:29:40 | 107.47 |  | 20.95
2026-04-16 07:29:45 | 107.47 |  | 20.95
2026-04-16 07:29:50 | 107.47 |  | 20.95
2026-04-16 07:29:55 | 107.47 |  | 20.95
2026-04-16 07:30:01 | 107.48 |  | 20.95
2026-04-16 07:30:06 | 106.78 |  | 20.95
2026-04-16 07:30:11 | 116.53 |  | 21.10
2026-04-16 07:30:16 | 116.28 |  | 21.10
2026-04-16 07:30:21 |  |  | 
2026-04-16 07:30:26 |  |  | 
2026-04-16 07:30:31 |  |  | 
2026-04-16 07:30:37 |  |  | 
2026-04-16 07:30:42 |  |  | 
2026-04-16 07:30:47 |  |  | 
2026-04-16 07:30:52 |  |  | 
2026-04-16 07:30:57 | 142.62 |  | 16.34
2026-04-16 07:31:02 | 148.12 |  | 24.12
2026-04-16 07:31:08 | 147.89 |  | 24.06
2026-04-16 07:31:13 | 147.93 |  | 24.06
2026-04-16 07:31:18 | 147.95 |  | 24.06
2026-04-16 07:31:23 | 147.95 |  | 24.06
2026-04-16 07:31:28 | 147.86 |  | 24.06
2026-04-16 07:31:33 | 109.78 |  | 22.76
2026-04-16 07:31:39 |  |  | 
2026-04-16 07:31:44 |  |  | 
2026-04-16 07:31:49 |  |  | 
2026-04-16 07:31:54 |  |  | 
2026-04-16 07:31:59 |  |  | 
2026-04-16 07:32:04 |  |  | 
2026-04-16 07:32:09 |  |  | 
2026-04-16 07:32:15 |  |  | 
2026-04-16 07:32:20 |  |  | 
2026-04-16 07:32:25 |  |  | 
2026-04-16 07:32:30 |  |  | 
2026-04-16 07:32:35 |  |  | 
2026-04-16 07:32:40 |  |  | 
2026-04-16 07:32:46 |  |  | 
2026-04-16 07:32:51 |  |  | 
2026-04-16 07:32:56 |  |  | 
2026-04-16 07:33:01 |  |  | 
2026-04-16 07:33:06 |  |  | 
2026-04-16 07:33:11 |  |  | 
2026-04-16 07:33:17 |  |  | 
2026-04-16 07:33:22 |  |  | 
2026-04-16 07:33:27 |  |  | 
2026-04-16 07:33:32 |  |  | 
2026-04-16 07:33:37 |  |  | 
2026-04-16 07:33:43 |  |  | 
2026-04-16 07:33:48 |  |  | 
2026-04-16 07:33:53 |  |  | 
2026-04-16 07:33:58 |  |  | 
2026-04-16 07:34:03 |  |  | 
2026-04-16 07:34:08 |  |  | 
2026-04-16 07:34:14 |  |  | 
2026-04-16 07:34:19 |  |  | 
2026-04-16 07:34:24 |  |  | 
2026-04-16 07:34:29 |  |  | 
2026-04-16 07:34:34 |  |  | 
2026-04-16 07:34:39 |  |  | 
2026-04-16 07:34:45 |  |  | 
2026-04-16 07:34:50 |  |  | 
2026-04-16 07:34:55 |  |  | 
2026-04-16 07:35:00 |  |  | 
2026-04-16 07:35:05 |  |  | 
2026-04-16 07:35:10 |  |  | 
2026-04-16 07:35:16 |  |  | 
2026-04-16 07:35:21 |  |  | 
2026-04-16 07:35:26 |  |  | 
2026-04-16 07:35:31 |  |  | 
2026-04-16 07:35:36 |  |  | 
2026-04-16 07:35:41 |  |  | 
2026-04-16 07:35:46 |  |  | 
2026-04-16 07:35:52 |  |  | 
2026-04-16 07:35:57 |  |  | 
2026-04-16 07:36:02 |  |  | 
2026-04-16 07:36:07 |  |  | 
2026-04-16 07:36:12 |  |  | 
2026-04-16 07:36:17 |  |  | 
2026-04-16 07:36:23 |  |  | 
2026-04-16 07:36:28 |  |  | 
2026-04-16 07:36:33 |  |  | 
2026-04-16 07:36:38 |  |  | 
2026-04-16 07:36:43 |  |  | 
2026-04-16 07:36:48 |  |  | 
2026-04-16 07:36:54 |  |  | 
2026-04-16 07:36:59 |  |  | 
2026-04-16 07:37:04 |  |  | 
2026-04-16 07:37:09 |  |  | 
2026-04-16 07:37:14 |  |  | 
2026-04-16 07:37:19 |  |  | 
2026-04-16 07:37:25 |  |  | 
2026-04-16 07:37:30 |  |  | 
2026-04-16 07:37:35 |  |  | 
2026-04-16 07:37:40 |  |  | 
2026-04-16 07:37:45 |  |  | 
2026-04-16 07:37:51 |  |  | 
2026-04-16 07:37:56 |  |  | 
2026-04-16 07:38:01 |  |  | 
2026-04-16 07:38:06 |  |  | 
2026-04-16 07:38:11 |  |  | 
2026-04-16 07:38:16 |  |  | 
2026-04-16 07:38:22 |  |  | 
2026-04-16 07:38:27 |  |  | 
2026-04-16 07:38:32 |  |  | 
2026-04-16 07:38:37 |  |  | 
2026-04-16 07:38:42 |  |  | 
2026-04-16 07:38:47 |  |  | 
2026-04-16 07:38:53 |  |  | 
2026-04-16 07:38:58 |  |  | 
2026-04-16 07:39:03 |  |  | 
2026-04-16 07:39:08 |  |  | 
2026-04-16 07:39:13 |  |  | 
2026-04-16 07:39:19 |  |  | 
2026-04-16 07:39:24 |  |  | 
2026-04-16 07:39:29 |  |  | 
2026-04-16 07:39:34 |  |  | 
2026-04-16 07:39:39 |  |  | 
2026-04-16 07:39:45 |  |  | 
2026-04-16 07:39:50 |  |  | 
2026-04-16 07:39:55 |  |  | 
2026-04-16 07:40:00 |  |  | 
2026-04-16 07:40:06 |  |  | 
2026-04-16 07:40:11 |  |  | 
2026-04-16 07:40:16 |  |  | 
2026-04-16 07:40:21 |  |  | 
2026-04-16 07:40:26 |  |  | 
2026-04-16 07:40:31 |  |  | 
2026-04-16 07:40:37 |  |  | 
2026-04-16 07:40:42 |  |  | 
2026-04-16 07:40:47 |  |  | 
2026-04-16 07:40:52 |  |  | 
2026-04-16 07:40:57 |  |  | 
2026-04-16 07:41:02 |  |  | 
2026-04-16 07:41:07 |  |  | 
2026-04-16 07:41:13 |  |  | 
2026-04-16 07:41:18 |  |  | 
2026-04-16 07:41:23 |  |  | 
2026-04-16 07:41:28 |  |  | 
2026-04-16 07:41:33 |  |  | 
2026-04-16 07:41:38 |  |  | 
2026-04-16 07:41:44 |  |  | 
2026-04-16 07:41:49 |  |  | 
2026-04-16 07:41:54 |  |  | 
2026-04-16 07:41:59 |  |  | 
2026-04-16 07:42:04 |  |  | 
2026-04-16 07:42:09 |  |  | 
2026-04-16 07:42:14 |  |  | 
2026-04-16 07:42:20 |  |  | 
2026-04-16 07:42:25 |  |  | 
2026-04-16 07:42:30 |  |  | 
2026-04-16 07:42:35 |  |  | 
2026-04-16 07:42:40 |  |  | 
2026-04-16 07:42:45 |  |  | 
2026-04-16 07:42:51 |  |  | 
2026-04-16 07:42:56 |  |  | 
2026-04-16 07:43:01 |  |  | 
2026-04-16 07:43:06 |  |  | 
2026-04-16 07:43:11 |  |  | 
2026-04-16 07:43:16 | 142.06 |  | 16.04
2026-04-16 07:43:22 | 152.17 |  | 24.51
2026-04-16 07:43:27 | 148.21 |  | 24.26
2026-04-16 07:43:32 | 147.92 |  | 24.18
2026-04-16 07:43:37 | 148.37 |  | 24.18
2026-04-16 07:43:42 | 148.37 |  | 24.18
2026-04-16 07:43:47 | 148.37 |  | 24.18
2026-04-16 07:43:53 | 148.38 |  | 24.18
